<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[65, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.23706882820544037, 1.01, -0.0058774477966807084, 7617.707982029519],2.565453466362172
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[66, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.23943951648749479, 1.01, -0.004060805310608484, 7698.85027692072],2.5796008844162137
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[67, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.24183391165236973, 1.01, 0.0039274503976172645, 8004.390751184068],2.5924966922564514
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[68, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.24425225076889343, 1.01, 0.0035926815712789967, 8000.12535855358],2.6054196549275432
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[69, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.24669477327658237, 1.01, 0.03326554616406277, 8617.730438910297],2.622078681600233
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[70, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2491617210093482, 1.01, -0.022741257813170324, 8341.998019775305],2.6283538367015704
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[71, 0.4573804573804574, 0.4149377593360996, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2516533382194417, 1.01, 0.00034211003795006634, 7762.408616864909],2.6512202571671897
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[72, 0.46361746361746364, 0.4896265560165975, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2541698716016361, 1.01, -0.007248949884350549, 6663.363438929299],2.6767777680123324
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[73, 0.46673596673596673, 0.4730290456431535, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.25671157031765246, 1.01, -0.0024890518852491023, 5930.793410434431],2.693731096596808
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[74, 0.4760914760914761, 0.47717842323651455, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.259278686020829, 1.01, -0.0055810228047057375, 6177.622112623008],2.7100635778964595
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[75, 0.4760914760914761, 0.47717842323651455, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.2618714728810373, 1.01, 0.0021985132621938977, 6637.447834515535],2.718452948542976
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[76, 0.4760914760914761, 0.47717842323651455, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.26449018760984766, 1.01, 0.002332396386205471, 6485.49918145666],2.7303467249463025
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[77, 0.4760914760914761, 0.47717842323651455, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.26713508948594616, 1.01, -0.00024888515097689495, 6479.494572813268],2.749443677959445
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[78, 0.4875259875259875, 0.4854771784232365, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.26980644038080565, 1.01, -0.0006187859590866124, 6582.628745518768],2.7625923625122772
